City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,bilibino,68.0546,166.4372,231.65,98,66,0.64,RU,1675914462
301,puerto cabello,10.4731,-68.0125,297.39,86,55,4.19,VE,1675914463
302,kassala,15.451,36.4,290.06,79,15,4.92,SD,1675914463
303,panguna,-6.3164,155.4848,299.75,66,100,1.39,PG,1675914464
304,imeni morozova,59.9757,31.0376,275.17,1,100,5.26,RU,1675914464
305,westport,41.1415,-73.3579,279.78,66,0,0.45,US,1675914315
306,yarmouth,41.7057,-70.2286,278.23,67,0,4.02,US,1675914423
307,dunedin,-45.8742,170.5036,287.18,54,91,6.32,NZ,1675914465
308,kayan,16.9056,96.5631,297.23,23,12,2.19,MM,1675914465
309,garissa,-0.4536,39.6401,296.83,80,1,2.69,KE,1675914466
310,ambovombe,-25.1667,46.0833,297.16,81,100,2.24,MG,1675914466
311,imeni poliny osipenko,52.4201,136.4853,249.01,89,72,2.29,RU,1675914467
312,hilo,19.7297,-155.09,298.0,73,75,4.63,US,1675914453
313,arco,45.9177,10.8867,274.24,63,62,1.07,IT,1675914467
314,poum,-20.2333,164.0167,300.61,81,99,5.34,NC,1675914468
315,parabel,58.6978,81.4825,249.87,99,99,2.62,RU,1675914468
316,nurota,40.5614,65.6886,273.88,86,89,3.6,UZ,1675914469
317,laerdalsoyri,61.098,7.4816,275.41,96,100,3.37,NO,1675914469
318,mahebourg,-20.4081,57.7,300.51,83,75,5.14,MU,1675914469
319,inuvik,68.3499,-133.7218,246.63,69,100,1.03,CA,1675914470
320,rundu,-17.9333,19.7667,291.44,93,100,2.17,NA,1675914470
321,solnechnyy,50.7214,136.6319,253.97,80,74,2.03,RU,1675914471
322,potiskum,11.7091,11.0694,291.62,21,36,4.73,NG,1675914471
323,prince rupert,54.3161,-130.3201,277.98,86,100,14.92,CA,1675914472
324,port elizabeth,-33.918,25.5701,293.88,93,75,1.03,ZA,1675914472
325,aldan,58.6031,125.3894,250.75,86,75,1.04,RU,1675914473
326,palmer,42.1584,-72.3287,277.64,69,75,3.09,US,1675914473
327,sechura,-5.5569,-80.8222,297.72,74,75,3.9,PE,1675914473
328,guerrero negro,27.9769,-114.0611,289.16,54,16,0.58,MX,1675914474
329,kununurra,-15.7667,128.7333,308.14,49,10,4.63,AU,1675914474
330,grand gaube,-20.0064,57.6608,300.58,75,17,3.58,MU,1675914475
331,mhlume,-26.0333,31.85,294.5,99,100,1.52,SZ,1675914475
332,luba,3.4568,8.5547,300.09,84,89,1.5,GQ,1675914475
333,zavyalovo,54.5053,82.4484,251.0,100,99,0.52,RU,1675914476
334,tual,-5.6667,132.75,300.14,81,100,13.64,ID,1675914476
335,sioux lookout,50.1001,-91.917,273.19,64,100,3.09,CA,1675914477
336,tamworth,52.634,-1.6959,279.78,87,100,2.85,GB,1675914477
337,clyde river,70.4692,-68.5914,237.28,68,75,2.57,CA,1675914478
338,baraboo,43.4711,-89.7443,276.37,76,0,0.0,US,1675914478
339,east london,-33.0153,27.9116,292.67,94,100,1.03,ZA,1675914478
340,sadiqabad,28.3062,70.1307,292.71,27,16,4.98,PK,1675914268
341,pahrump,36.2083,-115.9839,285.51,36,0,0.89,US,1675914323
342,zambezi,-13.5432,23.1047,289.84,95,100,2.49,ZM,1675914479
343,floro,61.5996,5.0328,278.13,75,75,10.29,NO,1675914480
344,ikongo,-21.8833,47.4333,294.78,97,100,0.12,MG,1675914480
345,otradnoye,59.7775,30.8181,275.18,93,100,4.71,RU,1675914481
346,golden,39.7555,-105.2211,275.98,53,75,9.77,US,1675914400
347,pinega,64.7001,43.3936,269.96,91,97,6.2,RU,1675914481
348,mubende,0.5606,31.39,289.94,77,51,0.87,UG,1675914482
349,tiznit,29.5833,-9.5,281.84,62,1,0.86,MA,1675914483
350,rio grande,-32.035,-52.0986,297.67,81,89,8.13,BR,1675914325
351,maltahohe,-24.8333,16.9833,293.5,68,0,2.84,NA,1675914484
352,kaili,-3.4626,120.2147,298.64,73,99,1.46,ID,1675914484
353,bemidji,47.4736,-94.8803,274.2,75,75,1.54,US,1675914298
354,princeton,25.5384,-80.4089,297.16,81,20,5.14,US,1675914309
355,corralillo,22.9819,-80.5856,297.0,79,0,7.11,CU,1675914487
356,suluq,31.6682,20.2521,283.3,65,0,12.6,LY,1675914487
357,luwuk,-0.9516,122.7875,303.62,62,97,1.68,ID,1675914488
358,abalak,58.1286,68.5944,257.76,99,99,2.11,RU,1675914489
359,grand-santi,4.25,-54.3833,295.1,100,100,1.06,GF,1675914489
360,boston,42.3584,-71.0598,277.73,65,0,3.6,US,1675914039
361,kota belud,6.351,116.4305,303.81,57,5,2.1,MY,1675914490
362,amazar,53.858,120.875,257.93,85,100,1.05,RU,1675914491
363,petropavlovsk-kamchatskiy,53.0452,158.6483,264.48,49,40,2.0,RU,1675914278
364,bodden town,19.2833,-81.25,299.15,92,20,4.12,KY,1675914492
365,araouane,18.9048,-3.5265,292.36,21,6,5.29,ML,1675914492
